No.,Field Description,Level Type,Short Name,nlvl
1,Height on pressure surface,isobaric,HGT,4
2,Temperature on pressure surface,isobaric,TMP,5
3,Relative humidity on pressure surface,isobaric,RH,4
4,U component of wind on pressure surface,isobaric,UGRD,4
5,V component of wind on pressure surface,isobaric,VGRD,4
6,Omega on pressure surface,isobaric,VVEL,4
7,Specific humidity on pressure surface,isobaric,SPFH,4
8,Absolute vorticity on pressure surface,isobaric,ABSV,4
9,Pressure on model surface,hybrid,PRES,64
10,Height on model surface,hybrid,HGT,64
11,Temperature on model surface,hybrid,TMP,64
12,Specific humidity on model surface,hybrid,SPFH,64
13,U component of wind on model surface,hybrid,UGRD,64
14,V component of wind on model surface,hybrid,VGRD,64
15,Omega on model surface,hybrid,VVEL,64
16,Vertical velocity on model surface,hybrid,DZDT,64
17,Turbulent kinetic energy on model surface,hybrid,TKE,64
18,Temperature tendency from grid scale latent heat release (time-averaged),hybrid,LRGHR,64
19,Mesinger (Membrane) sea level pressure,mean sea level,MSLET,1
20,Shuell sea level pressure,mean sea level,PRES,1
21,Temperature at 2m,height agl,TMP,1
22,Specific humidity at 2m,height agl,SPFH,1
23,Dew point temperature at 2m,height agl,DPT,1
24,Relative humidity at 2m,height agl,RH,1
25,U component of wind at 10m,height agl,UGRD,1
26,V component of wind at 10m,height agl,VGRD,1
27,Potential temperature at 10m,height agl,POT,1
28,Specific humidity at 10m,height agl,SPFH,1
29,Surface Pressure,surface,PRES,1
30,Terrain height,surface,HGT,1
31,Skin potential temperature,surface,POT,1
32,Skin specific humidity,surface,SPFH,1
33,Skin temperature,surface,TMP,1
34,Maximum updraft vertical velocity (10-100 hPa),isobaric,MAXUVV,1
35,Maximum downdraft vertical velocity (10-100 hPa),isobaric,MAXDVV,1
36,Maximum updraft helicity (0-3 km),height agl,MXUPHL,1
37,Maximum updraft helicity (2-5 km),height agl,MXUPHL,1
38,Minimum updraft helicity (2-5 km),height agl,MNUPHL,1
39,Minimum updraft helicity (0-3 km),height agl,MNUPHL,1
40,Maximum relative vertical vorticity (0-1 km),height agl,RELV,1
41,Maximum relative vertical vorticity at hybrid level 1,hybrid,RELV,1
42,Maximum relative vertical vorticity (0-2 km),height agl,RELV,1
43,Maximum U-component wind at 10m,height agl,MAXUW,1
44,Maximum V-component wind at 10m,height agl,MAXVW,1
45,Maximum derived radar reflectivity at 1 km,height agl,MAXREF,1
46,Maximum derived radar reflectivity at -10 C,isothermal,MAXREF,1
47,Radar reflectivity at -10 C,isothermal,REFD,1
48,Maximum 2m temperature,height agl,TMAX,1
49,Minimum 2m temperature,height agl,TMIN,1
50,Maximum 2m RH,height agl,MAXRH,1
51,Minimum 2m RH,height agl,MINRH,1
52,Soil temperature in between each soil layer,depth below land surface,TSOIL,4
53,Soil moisture in between each soil layer,depth below land surface,SOILW,4
54,Total soil moisture,depth below land surface,SOILM,1
55,Heat exchange coeff at surface,surface,SFEXC,1
56,Vegetation cover,surface,VEG,1
57,Soil moisture availability,depth below land surface,MSTAV,1
58,Soil temperature at 3m,depth below land surface,TSOIL,1
59,Ground heat flux (instantaneous),surface,GFLUX,1
60,Plant canopy surface water,surface,CNWAT,1
61,Snow water equivalent,surface,WEASD,1
62,Lifted index—best,pressure above ground,4LFTX,1
63,Column integrated precipitable water,entire atmosphere,PWAT,1
64,Accumulated total precipitation,surface,APCP,1
65,Accumulated grid-scale precipitation,surface,NCPCP,1
66,Accumulated snowfall,surface,WEASD,1
67,Accumulated total snow melt,surface,SNOM,1
68,Accumulated storm surface runoff,surface,SSRUN,1
69,Accumulated base flow runoff,surface,BGRUN,1
70,Categorical rain (instantaneous),surface,CRAIN,1
71,Categorical snow (instantaneous),surface,CSNOW,1
72,Categorical ice pellets (instantaneous),surface,CICEP,1
73,Categorical freezing rain (instantaneous),surface,CFRZR,1
74,Precipitation rate (instantaneous),surface,PRATE,1
75,Fraction of frozen precipitation,surface,CPOFP,1
76,Cloud water mixing ratio on model surface,hybrid,CLWMR,64
77,Cloud ice mixing ratio on model surface,hybrid,ICMR,64
78,Cloud fraction on model surface,hybrid,TCDC,64
79,Rain mixing ratio on model surface,hybrid,RWMR,64
80,Snow mixing ratio on model surface,hybrid,SNMR,64
81,Rimming factor for Ferrier scheme on model surface,hybrid,RIME,64
82,Total condensate for Ferrier scheme on mode surface,hybrid,TCOND,64
83,Model level fraction of rain for Ferrier scheme,hybrid,FRAIN,64
84,Model level fraction of ice for Ferrier scheme,hybrid,FICE,64
85,Low level cloud fraction,low cloud layer,LCDC,1
